term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,gli1,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,gli1,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,gli1,glabrescione b,HY-L025-24,D08,HY-122590,Glabrescione B,,65893-94-9,450.52,Gli,Stem Cell/Wnt,"Glabrescione B is the first compound that binds the Hedgehog (Hh) modulator Gli1. Glabrescione B impairs its activity by interfering with Gli1-DNA interaction. Glabrescione B inhibits the growth of Hedgehog-dependent tumor cells, the self-renewal ability, and clonogenicity of tumor-derived stem cells[1][2].",C27H30O6,DMSO : 100 mg/mL (221.97 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1C(C2=CC=C(OC/C=C(C)/C)C(OC/C=C(C)/C)=C2)=COC3=CC(OC)=CC(OC)=C13
,,,,,,,,,,,,,,,,gli1,genistein,HY-L025-45,H04,HY-14596,Genistein,NPI 031L,446-72-0,270.24,Apoptosis; Autophagy; EGFR; Endogenous Metabolite,Apoptosis; Autophagy; JAK/STAT Signaling; Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK,"Genistein, a soy isoflavone, is a multiple tyrosine kinases (e.g., EGFR) inhibitor which acts as a chemotherapeutic agent against different types of cancer, mainly by altering apoptosis, the cell cycle, and angiogenesis and inhibiting metastasis.",C15H10O5,DMSO : ≥ 100 mg/mL (370.04 mM); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer,Phase 4,OC1=C2C(OC=C(C3=CC=C(O)C=C3)C2=O)=CC(O)=C1
,,,,,,,,,,,,,,,,gli1,gant 61,HY-L025-41,C05,HY-13901,GANT 61,NSC 136476,500579-04-4,429.6,Autophagy; Gli,Autophagy; Stem Cell/Wnt,GANT 61 is an inhibitor of Gli1 and Gli2 targeting the Hedgehog/GLI pathway.,C27H35N5,DMSO : 25 mg/mL (58.19 mM; Need ultrasonic); Ethanol : 66.67 mg/mL (155.19 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CN(C)C1=CC=CC=C1CN2C(C3=CC=NC=C3)N(CC4=CC=CC=C4N(C)C)CCC2
,,,,,,,,,,,,,,,,gli1,gdc 0449,HY-L025-10,A09,HY-10440,Vismodegib,GDC-0449,879085-55-9,421.3,Autophagy; Hedgehog,Autophagy; Stem Cell/Wnt,"Vismodegib (GDC-0449) is an orally active hedgehog pathway inhibitor with an IC50 of 3 nM. Vismodegib also inhibits P-gp, ABCG2 with IC50 values of 3.0 μM and 1.4 μM, respectively[1][2].",C19H14Cl2N2O3S,DMSO : 50 mg/mL (118.68 mM; Need ultrasonic); Ethanol : 3.33 mg/mL (7.90 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=C(C1=CC=C(C=C1Cl)S(=O)(C)=O)NC2=CC=C(C(C3=NC=CC=C3)=C2)Cl
,,,,,,,,,,,,,,,,gli1,vismodegib,HY-L025-10,A09,HY-10440,Vismodegib,GDC-0449,879085-55-9,421.3,Autophagy; Hedgehog,Autophagy; Stem Cell/Wnt,"Vismodegib (GDC-0449) is an orally active hedgehog pathway inhibitor with an IC50 of 3 nM. Vismodegib also inhibits P-gp, ABCG2 with IC50 values of 3.0 μM and 1.4 μM, respectively[1][2].",C19H14Cl2N2O3S,DMSO : 50 mg/mL (118.68 mM; Need ultrasonic); Ethanol : 3.33 mg/mL (7.90 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=C(C1=CC=C(C=C1Cl)S(=O)(C)=O)NC2=CC=C(C(C3=NC=CC=C3)=C2)Cl
,,,,,,,,,,,,,,,,gli1,cyclopamine,HY-L025-57,F03,HY-17024,Cyclopamine,11-Deoxojervine,4449-51-8,411.62,Endogenous Metabolite; Hedgehog; Smo,Metabolic Enzyme/Protease; Stem Cell/Wnt,Cyclopamine is a Hedgehog (Hh) pathway antagonist with an IC50 of 46 nM in the Hh cell assay. Cyclopamine is also a selective Smo inhibitor.,C27H41NO2,DMSO : 10 mg/mL (24.29 mM; ultrasonic and warming and heat to 80°C); Ethanol : 20 mg/mL (48.59 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CC1=C2[C@@]([C@@]3([H])[C@]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)([H])C2)([H])CC[C@@]15[C@@H]([C@@]6([H])[C@](C[C@H](C)CN6)([H])O5)C
,,,,,,,,,,,,,,,,nanog,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
,,,,,,,,,,,,,,,,nanog,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,nanog,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,nanog,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,aurka,mln8054,HY-L025-6,D04,HY-10180,MLN8054,,869363-13-3,476.86,Aurora Kinase,Cell Cycle/DNA Damage; Epigenetics,"MLN8054 is a potent, selective and orally available aurora A kinase inhibitor with an IC50 of 4 nM.",C25H15ClF2N4O2,DMSO : 20.83 mg/mL (43.68 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Phase 1,O=C(C1=CC=C(NC2=NC3=C(CN=C(C4=C3C=CC(Cl)=C4)C5=C(F)C=CC=C5F)C=N2)C=C1)O
,,,,,,,,,,,,,,,,aurka,reversine,HY-L025-46,G02,HY-14711,Reversine,,656820-32-5,393.49,Aurora Kinase; Autophagy,Autophagy; Cell Cycle/DNA Damage; Epigenetics,"Reversine is a novel class of ATP-competitive Aurora kinase inhibitor with IC50s of 400, 500 and 400 nM for Aurora A, Aurora B and Aurora C, respectively.",C21H27N7O,DMSO : 20 mg/mL (50.83 mM; Need ultrasonic),10mM,Cancer,No Development Reported,C1(NC2=CC=C(N3CCOCC3)C=C2)=NC(NC4CCCCC4)=C5C(NC=N5)=N1
,,,,,,,,,,,,,,,,aurka,alisertib,HY-L025-14,B10,HY-10971,Alisertib,MLN 8237,1028486-01-2,518.92,Apoptosis; Aurora Kinase; Autophagy,Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics,"Alisertib (MLN 8237) is an orally active and selective Aurora A kinase inhibitor (IC50=1.2 nM), which binds to Aurora A kinase resulting in mitotic spindle abnormalities, mitotic accumulation. Alisertib (MLN 8237) induces apoptosis and autophagy through targeting the AKT/mTOR/AMPK/p38 pathway in leukemic cells. Antitumor activity[1][2][3].",C27H20ClFN4O4,DMSO : 25 mg/mL (48.18 mM; Need ultrasonic),10mM,Cancer,Phase 3,O=C(C1=CC=C(C=C1OC)NC2=NC=C3CN=C(C4=CC(Cl)=CC=C4C3=N2)C5=C(C=CC=C5F)OC)O
,,,,,,,,,,,,,,,,epcam,dapt,HY-L025-31,F03,HY-13027,DAPT,GSI-IX,208255-80-5,432.46,Amyloid-β; Apoptosis; Autophagy; Notch; γ-secretase,Apoptosis; Autophagy; Neuronal Signaling; Stem Cell/Wnt,"DAPT (GSI-IX) is a potent and orally active γ-secretase inhibitor with IC50s of 115 nM and 200 nM for total amyloid-β (Aβ) and Aβ42, respectively. DAPT inhibits the activation of Notch 1 signaling and induces cell differentiation. DAPT also induces autophagy and apoptosis. DAPT has neuroprotection activity and has the potential for autoimmune and lymphoproliferative diseases, degenerative disease and cancers treatment[1][2].",C23H26F2N2O4,DMSO : 62.5 mg/mL (144.52 mM; Need ultrasonic); Ethanol : 10 mg/mL (23.12 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,No Development Reported,FC1=CC(F)=CC(CC(N[C@H](C(N[C@H](C(OC(C)(C)C)=O)C2=CC=CC=C2)=O)C)=O)=C1
,,,,,,,,,,,,,,,,epcam,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,klf4,kenpaullone,HY-L025-25,B09,HY-12302,Kenpaullone,9-Bromopaullone; NSC-664704,142273-20-9,327.18,CDK; GSK-3,Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"Kenpaullone is a potent inhibitor of CDK1/cyclin B and GSK-3β, with IC50s of 0.4 μM and 23 nM, and also inhibits CDK2/cyclin A, CDK2/cyclin E, and CDK5/p25 with IC50s of 0.68 μM, 7.5 μM, 0.85 μM, respectively. Kenpaullone, a small molecule inhibitor of KLF4, reduces self-renewal of breast cancer stem cells and cell motility in vitro.",C16H11BrN2O,DMSO : ≥ 35 mg/mL (106.97 mM),10mM,Cancer,No Development Reported,O=C1NC2=CC=CC=C2C(NC3=C4C=C(Br)C=C3)=C4C1
,,,,,,,,,,,,,,,,foxm1,dim,HY-L025-54,A02,HY-15758,"3,3'-Diindolylmethane",DIM; Arundine; HB 236,5/4/68,246.31,Androgen Receptor; Autophagy,Autophagy; Vitamin D Related/Nuclear Receptor,"3,3'-Diindolylmethane is a strong, pure androgen receptor (AR) antagonist.",C17H14N2,DMSO : ≥ 100 mg/mL (405.99 mM),10mM,Cancer,Phase 4,C1(CC2=CNC3=C2C=CC=C3)=CNC4=C1C=CC=C4
,,,,,,,,,,,,,,,,foxm1,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,foxm1,fdi 6,HY-L025-18,C03,HY-112721,FDI-6,,313380-27-7,437.43,Others,Others,"FDI-6 is an inhibitor of FOXM1. FDI-6 binds directly to FOXM1 protein, to displace FOXM1 from genomic targets in MCF-7 breast cancer cells, and induce concomitant transcriptional down-regulation.",C19H11F4N3OS2,DMSO : 41.67 mg/mL (95.26 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C(C1=C(N)C2=C(C(F)(F)F)C=C(C3=CC=CS3)N=C2S1)NC4=CC=C(F)C=C4
,,,,,,,,,,,,,,,,foxm1,bortezomib,HY-L025-7,E07,HY-10227,Bortezomib,PS-341; LDP-341; NSC 681239,179324-69-7,384.24,Apoptosis; Autophagy; NF-κB; Proteasome,Apoptosis; Autophagy; Metabolic Enzyme/Protease; NF-κB,"Bortezomib (PS-341) is a reversible and selective proteasome inhibitor, and potently inhibits 20S proteasome (Ki=0.6 nM) by targeting a threonine residue. Bortezomib disrupts the cell cycle, induces apoptosis, and inhibits NF-κB. Bortezomib is the first proteasome inhibitor anticancer agent. Anti-cancer activity[1][2].",C19H25BN4O4,DMSO : 50 mg/mL (130.13 mM; Need ultrasonic); Ethanol : 66.67 mg/mL (173.51 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,OB(O)[C@H](CC(C)C)NC([C@@H](NC(C1=NC=CN=C1)=O)CC2=CC=CC=C2)=O
,,,,,,,,,,,,,,,,wee1,mk 1775,HY-L025-14,D02,HY-10993,Adavosertib,AZD1775; MK-1775,955365-80-7,500.6,Wee1,Cell Cycle/DNA Damage,Adavosertib (AZD-1775; MK-1775) is a potent Wee1 inhibitor with an IC50 of 5.2 nM.,C27H32N8O2,DMSO : 125 mg/mL (249.70 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=C1N(N(C2=NC(NC3=CC=C(C=C3)N4CCN(CC4)C)=NC=C21)C5=NC(C(O)(C)C)=CC=C5)CC=C
,,,,,,,,,,,,,,,,wee1,pd0166285,HY-L025-41,F09,HY-13925,PD0166285,,185039-89-8,512.43,Apoptosis; Wee1,Apoptosis; Cell Cycle/DNA Damage,"PD0166285, a substrate of P-gp, is a WEE1 inhibitor and a weak Myt1 inhibitor with IC50 values of 24 and 72 nM, respectively. PD0166285 exhibits an IC50 of 3.433 μM for Chk1[1].",C26H27Cl2N5O2,DMSO : 50 mg/mL (97.57 mM; Need ultrasonic),10mM,Cancer,No Development Reported,O=C1N(C)C2=NC(NC3=CC=C(OCCN(CC)CC)C=C3)=NC=C2C=C1C4=C(Cl)C=CC=C4Cl
,,,,,,,,,,,,,,,,wee1,adavosertib,HY-L025-14,D02,HY-10993,Adavosertib,AZD1775; MK-1775,955365-80-7,500.6,Wee1,Cell Cycle/DNA Damage,Adavosertib (AZD-1775; MK-1775) is a potent Wee1 inhibitor with an IC50 of 5.2 nM.,C27H32N8O2,DMSO : 125 mg/mL (249.70 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=C1N(N(C2=NC(NC3=CC=C(C=C3)N4CCN(CC4)C)=NC=C21)C5=NC(C(O)(C)C)=CC=C5)CC=C
,,,,,,,,,,,,,,,,wee1,azd1775,HY-L025-14,D02,HY-10993,Adavosertib,AZD1775; MK-1775,955365-80-7,500.6,Wee1,Cell Cycle/DNA Damage,Adavosertib (AZD-1775; MK-1775) is a potent Wee1 inhibitor with an IC50 of 5.2 nM.,C27H32N8O2,DMSO : 125 mg/mL (249.70 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=C1N(N(C2=NC(NC3=CC=C(C=C3)N4CCN(CC4)C)=NC=C21)C5=NC(C(O)(C)C)=CC=C5)CC=C
,,,,,,,,,,,,,,,,ddr,minocycline,HY-L025-58,A05,HY-17412,Minocycline (hydrochloride),,13614-98-7,493.94,Antibiotic; Apoptosis; Bacterial; Calcium Channel; HIF/HIF Prolyl-Hydroxylase; MDM-2/p53; Potassium Channel,Anti-infection; Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling,"Minocycline hydrochloride is an orally active, potent and BBB-penetrated semi-synthetic tetracycline antibiotic. Minocycline hydrochloride is a hypoxia-inducible factor (HIF)-1α inhibitor. Minocycline hydrochloride shows anti-cancer, anti-inflammatory, and glutamate antagonist effects. Minocycline hydrochloride reduces glutamate neurotransmission and shows neuroprotective properties and antidepressant effects. Minocycline hydrochloride inhibits bacterial protein synthesis through binding with the 30S subunit of the bacterial ribosome, resulting in a bacteriostatic effect[1][2][3][4][5][6][7].",C23H28ClN3O7,DMSO : 19.23 mg/mL (38.93 mM; Need ultrasonic); H2O : 10 mg/mL (20.25 mM; Need ultrasonic),10mM,Cancer; Infection; Metabolic Disease; Inflammation/Immunology; Neurological Disease; Cardiovascular Disease,Launched,OC1=C(C(N)=O)C([C@@]2(O)C(O)=C3C(C4=C(O)C=CC(N(C)C)=C4C[C@@]3([H])C[C@@]2([H])[C@@H]1N(C)C)=O)=O.Cl
,,,,,,,,,,,,,,,,ddr,imatinib,HY-L025-64,D06,HY-50946,Imatinib (Mesylate),STI571 (Mesylate); CGP-57148B (Mesylate),220127-57-1,589.71,Autophagy; Bcr-Abl; c-Kit; PDGFR,Autophagy; Protein Tyrosine Kinase/RTK,"Imatinib Mesylate (STI571 Mesylate) is a tyrosine kinases inhibitor that inhibits c-Kit, Bcr-Abl, and PDGFR (IC50=100 nM) tyrosine kinases.",C30H35N7O4S,DMSO : 125 mg/mL (211.97 mM; Need ultrasonic); H2O : ≥ 50 mg/mL (84.79 mM),10mM,Cancer,Launched,O=S(O)(C)=O.O=C(NC1=CC=C(C(NC2=NC=CC(C3=CC=CN=C3)=N2)=C1)C)C4=CC=C(CN5CCN(CC5)C)C=C4
,,,,,,,,,,,,,,,,smo,lde225,HY-L025-56,D11,HY-16582A,Sonidegib,Erismodegib; LDE225; NVP-LDE225,956697-53-3,485.5,Smo,Stem Cell/Wnt,"Sonidegib (Erismodegib) is a potent and selective Smo antagonist with IC50 of 1.3 nM and 2.5 nM for mouse and human Smo in binding assay, respectively[1].",C26H26F3N3O3,DMSO : 50 mg/mL (102.99 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(C1=C(C)C(C(C=C2)=CC=C2OC(F)(F)F)=CC=C1)NC3=CC=C(N=C3)N4C[C@@H](C)O[C@@H](C)C4
,,,,,,,,,,,,,,,,smo,gant 61,HY-L025-41,C05,HY-13901,GANT 61,NSC 136476,500579-04-4,429.6,Autophagy; Gli,Autophagy; Stem Cell/Wnt,GANT 61 is an inhibitor of Gli1 and Gli2 targeting the Hedgehog/GLI pathway.,C27H35N5,DMSO : 25 mg/mL (58.19 mM; Need ultrasonic); Ethanol : 66.67 mg/mL (155.19 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CN(C)C1=CC=CC=C1CN2C(C3=CC=NC=C3)N(CC4=CC=CC=C4N(C)C)CCC2
,,,,,,,,,,,,,,,,smo,salinomycin,HY-L025-58,B06,HY-17439,Salinomycin (sodium salt),Salinomycin sodium; Sodium salinomycin,55721-31-8,772.98,Antibiotic; Apoptosis; Autophagy; Bacterial; Parasite; Wnt; β-catenin,Anti-infection; Apoptosis; Autophagy; Stem Cell/Wnt,"Salinomycin sodium salt (Salinomycin sodium), an antibiotic potassium ionophore, is a potent inhibitor of Wnt/β-catenin signaling. Salinomycin sodium salt (Salinomycin sodium) acts on the Wnt/Fzd/LRP complex, blocks Wnt-induced LRP6 phosphorylation, and causes degradation of the LRP6 protein. Salinomycin sodium salt (Salinomycin sodium) shows selective activity against human cancer stem cells[1][2][3].",C42H69NaO11,DMSO : 100 mg/mL (129.37 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 80°C) (insoluble),10mM,Cancer,No Development Reported,[H][C@]1([C@](C)(CC2)O[C@]32[C@H](O)C=C[C@]4(O[C@]([H])([C@@H](CC)C([C@@H](C)[C@@H](O)[C@H](C)[C@]5([H])O[C@]([C@@H](CC)C(O[Na])=O)([H])CC[C@@H]5C)=O)[C@@H](C)C[C@H]4C)O3)CC[C@@](CC)(O)[C@H](C)O1
,,,,,,,,,,,,,,,,smo,nvp lde225,HY-L025-56,D11,HY-16582A,Sonidegib,Erismodegib; LDE225; NVP-LDE225,956697-53-3,485.5,Smo,Stem Cell/Wnt,"Sonidegib (Erismodegib) is a potent and selective Smo antagonist with IC50 of 1.3 nM and 2.5 nM for mouse and human Smo in binding assay, respectively[1].",C26H26F3N3O3,DMSO : 50 mg/mL (102.99 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(C1=C(C)C(C(C=C2)=CC=C2OC(F)(F)F)=CC=C1)NC3=CC=C(N=C3)N4C[C@@H](C)O[C@@H](C)C4
,,,,,,,,,,,,,,,,smo,gdc 0449,HY-L025-10,A09,HY-10440,Vismodegib,GDC-0449,879085-55-9,421.3,Autophagy; Hedgehog,Autophagy; Stem Cell/Wnt,"Vismodegib (GDC-0449) is an orally active hedgehog pathway inhibitor with an IC50 of 3 nM. Vismodegib also inhibits P-gp, ABCG2 with IC50 values of 3.0 μM and 1.4 μM, respectively[1][2].",C19H14Cl2N2O3S,DMSO : 50 mg/mL (118.68 mM; Need ultrasonic); Ethanol : 3.33 mg/mL (7.90 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=C(C1=CC=C(C=C1Cl)S(=O)(C)=O)NC2=CC=C(C(C3=NC=CC=C3)=C2)Cl
,,,,,,,,,,,,,,,,smo,bms 833923,HY-L025-40,B09,HY-13809,BMS-833923,XL-139,1059734-66-5,473.57,Apoptosis; Smo,Apoptosis; Stem Cell/Wnt,"BMS-833923 (XL-139) is an orally bioavailable small-molecule inhibitor of Smoothened  with potential antineoplastic activity;  inhibits BODIPY cyclopamine binding to SMO in a dose-dependent manner with an IC50 of 21 nM.
IC50 Value: 6-35 nM [1]
Target: Smoothened
SMO antagonist BMS-833923 inhibits the sonic hedgehog (SHH) pathway protein SMO, which may result in a suppression of the SHH signaling pathway.
in vitro: In vitro, BMS-833923 inhibits the expression of downstream effectors in the HH pathway (GLI1 and PTCH1) in cell lines that express wild-type SMO and those which express activated mutant forms of SMO (IC50values of 6-35 nM). In FACS-based binding assays, BMS-833923 inhibits BODIPY cyclopamine binding to SMO in a dose-dependent manner with an IC50 of 21 nM [1]. 
in vivo: Pharmacodynamic studies show that BMS-833923 robustly inhibits HH pathway activity with along duration of action after a single oral dose in medulloblastoma and pancreatic carcinoma xenograft models. The pharmacodynamic effects of BMS-833923 observed in these models translate into tumor growth inhibition at well-tolerated doses [1].
Clinical trial: Dasatinib Combo With Smoothened (SMO) Antagonist (BMS-833923). Phase 2",C30H27N5O,DMSO : 50 mg/mL (105.58 mM; Need ultrasonic),10mM,Cancer,Phase 2,O=C(NC1=CC(CNC)=CC=C1C)C2=CC=C(NC3=NC(C4=CC=CC=C4)=C5C=CC=CC5=N3)C=C2
,,,,,,,,,,,,,,,,smo,sonidegib,HY-L025-56,D11,HY-16582A,Sonidegib,Erismodegib; LDE225; NVP-LDE225,956697-53-3,485.5,Smo,Stem Cell/Wnt,"Sonidegib (Erismodegib) is a potent and selective Smo antagonist with IC50 of 1.3 nM and 2.5 nM for mouse and human Smo in binding assay, respectively[1].",C26H26F3N3O3,DMSO : 50 mg/mL (102.99 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(C1=C(C)C(C(C=C2)=CC=C2OC(F)(F)F)=CC=C1)NC3=CC=C(N=C3)N4C[C@@H](C)O[C@@H](C)C4
,,,,,,,,,,,,,,,,smo,vismodegib,HY-L025-10,A09,HY-10440,Vismodegib,GDC-0449,879085-55-9,421.3,Autophagy; Hedgehog,Autophagy; Stem Cell/Wnt,"Vismodegib (GDC-0449) is an orally active hedgehog pathway inhibitor with an IC50 of 3 nM. Vismodegib also inhibits P-gp, ABCG2 with IC50 values of 3.0 μM and 1.4 μM, respectively[1][2].",C19H14Cl2N2O3S,DMSO : 50 mg/mL (118.68 mM; Need ultrasonic); Ethanol : 3.33 mg/mL (7.90 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=C(C1=CC=C(C=C1Cl)S(=O)(C)=O)NC2=CC=C(C(C3=NC=CC=C3)=C2)Cl
