C_term	B_term	Prediction Score	FET p value	ratio	B_term count	C_term count	B_C_counts	db total
CEFIXIME	absorption	0.25377	2.26979e-12	0.06272	63595	287	18	9451155
ZINC OXIDE	inflammation	0.25256	2.05138e-26	0.05017	26813	578	29	9451155
ZINC OXIDE	healing	0.15738	2.86298e-15	0.03287	24294	578	19	9451155
ZINC OXIDE	absorption	0.14402	5.18858e-09	0.03460	63595	578	20	9451155
ZINC OXIDE	diet	0.12083	2.43009e-07	0.02941	58989	578	17	9451155
CANDICIDIN	absorption	0.25009	7.50022e-06	0.06731	63595	104	7	9451155
ENALAPRIL	diet	0.24912	1.47110e-34	0.04204	58989	1665	70	9451155
AZELASTINE	inflammation	0.24441	6.25819e-11	0.06135	26813	163	10	9451155
SODIUM NITRITE	diet	0.24342	1.64318e-24	0.04926	58989	873	43	9451155
TARTARIC ACID	absorption	0.24332	1.97089e-10	0.06148	63595	244	15	9451155
CHENODIOL	bile acid metabolism	0.24281	9.55003e-07	0.06452	429	31	2	9451155
NIACINAMIDE	diet	0.24237	1.33278e-06	0.06452	58989	124	8	9451155
ALLOPURINOL	pathogenesis	0.24189	5.17236e-36	0.03869	57792	1990	77	9451155
ALLOPURINOL	diet	0.23583	1.26906e-34	0.03819	58989	1990	76	9451155
NALOXONE	weight loss	0.23996	2.40683e-67	0.00998	8807	10223	102	9451155
NALOXONE	cell activity	0.03611	1.61094e-09	0.00264	6028	10223	27	9451155
DESOXIMETASONE	inflammatory activity	0.23970	9.70788e-06	0.06452	1368	31	2	9451155
MORPHINE	weight loss	0.23956	1.11155e-69	0.00773	8807	16174	125	9451155
MORPHINE	cell activity	0.02588	4.52164e-07	0.00185	6028	16174	30	9451155
PROTEASE)	inflammation	0.23900	7.11616e-65	0.01195	26813	17744	212	9451155
PROTEASE)	pathogenesis	0.22596	8.00207e-55	0.01725	57792	17744	306	9451155
PROTEASE)	acute phase response	0.05273	1.34837e-16	0.00107	665	17744	19	9451155
ETODOLAC	inflammation	0.23774	4.38886e-08	0.06195	26813	113	7	9451155
SUPROFEN	inflammation	0.23748	8.42928e-11	0.05952	26813	168	10	9451155
SUPROFEN	inflammatory activity	0.07802	2.30715e-06	0.01786	1368	168	3	9451155
METHACHOLINE	inflammation	0.23694	1.75105e-45	0.02884	26813	2427	70	9451155
METHACHOLINE	pathogenesis	0.11123	1.35454e-13	0.02101	57792	2427	51	9451155
METHACHOLINE	mucosal inflammation	0.02594	2.58946e-07	0.00165	198	2427	4	9451155
COLLAGENASE	inflammation	0.23682	6.69825e-58	0.01763	26813	7315	129	9451155
COLLAGENASE	pathogenesis	0.16484	2.20948e-32	0.01969	57792	7315	144	9451155
COLLAGENASE	healing	0.13219	1.96510e-30	0.01189	24294	7315	87	9451155
COLLAGENASE	chronic inflammation	0.04044	1.46386e-11	0.00205	1716	7315	15	9451155
COLLAGENASE	cell activity	0.02357	8.17172e-06	0.00232	6028	7315	17	9451155
COLLAGENASE	disease activity	0.02230	5.36154e-06	0.00178	3493	7315	13	9451155
MONOBASIC	absorption	0.23598	7.10178e-07	0.06250	63595	144	9	9451155
ACITRETIN	absorption	0.23407	2.93366e-06	0.06250	63595	128	8	9451155
KETOPROFEN	absorption	0.23330	1.74854e-17	0.05254	63595	571	30	9451155
KETOPROFEN	inflammation	0.19529	3.63333e-19	0.04028	26813	571	23	9451155
KETOPROFEN	inflammatory activity	0.11347	3.40453e-18	0.01751	1368	571	10	9451155
KETOPROFEN	bleeding	0.09952	7.21629e-08	0.02277	30415	571	13	9451155
DACTINOMYCIN	resection	0.23131	1.32868e-15	0.05362	41979	373	20	9451155
DACTINOMYCIN	excision	0.10236	2.86581e-07	0.02413	21648	373	9	9451155
TRICLOSAN	bleeding	0.23062	1.22585e-07	0.06034	30415	116	7	9451155
CHLORTHALIDONE	diet	0.22952	5.26696e-18	0.05102	58989	588	30	9451155
CHLORTHALIDONE	weight loss	0.07708	7.07932e-09	0.01531	8807	588	9	9451155
BENZPHETAMINE	absorption	0.22889	1.83626e-15	0.05306	63595	490	26	9451155
BENZPHETAMINE	diet	0.13285	1.35734e-07	0.03265	58989	490	16	9451155
ETOPOSIDE	resection	0.22519	1.92096e-38	0.03174	41979	2363	75	9451155
ETOPOSIDE	weight loss	0.08084	3.22851e-16	0.00973	8807	2363	23	9451155
ETOPOSIDE	excision	0.05367	6.62680e-08	0.00931	21648	2363	22	9451155
CITRIC ACID	healing	0.22466	5.25460e-45	0.02572	24294	2722	70	9451155
CITRIC ACID	absorption	0.13636	4.02777e-18	0.02425	63595	2722	66	9451155
CITRIC ACID	diet	0.11696	4.04712e-15	0.02131	58989	2722	58	9451155
CHLORPHENESIN CARBAMATE	enterohepatic circulation	0.22023	4.88156e-06	0.05882	883	34	2	9451155
DIMERCAPROL	absorption	0.22011	3.56682e-07	0.05780	63595	173	10	9451155
EDETATE	absorption	0.22011	3.56682e-07	0.05780	63595	173	10	9451155
TOLMETIN	inflammation	0.21950	4.04989e-12	0.05333	26813	225	12	9451155
TOLMETIN	absorption	0.16959	3.83301e-06	0.04444	63595	225	10	9451155
TOLMETIN	inflammatory activity	0.10511	2.82260e-10	0.02222	1368	225	5	9451155
DIBASIC	absorption	0.21918	4.12143e-14	0.05150	63595	466	24	9451155
DIBASIC	diet	0.14952	1.13428e-08	0.03648	58989	466	17	9451155
SULFAMETHAZINE)	diet	0.21619	4.13220e-10	0.05415	58989	277	15	9451155
SULFAMETHAZINE)	absorption	0.15300	3.76284e-06	0.03971	63595	277	11	9451155
CEFACLOR	absorption	0.21571	9.71471e-18	0.04735	63595	697	33	9451155
BLEOMYCIN	resection	0.21552	2.40422e-45	0.02276	41979	5229	119	9451155
BLEOMYCIN	excision	0.18243	4.56435e-42	0.01606	21648	5229	84	9451155
BLEOMYCIN	inflammation	0.06347	2.00919e-11	0.00899	26813	5229	47	9451155
BLEOMYCIN	weight loss	0.04722	8.92751e-11	0.00478	8807	5229	25	9451155
METHYLTESTOSTERONE	sex	0.21246	1.19813e-10	0.05263	73023	361	19	9451155
CLARITHROMYCIN	absorption	0.21229	1.47249e-07	0.05528	63595	199	11	9451155
PHOSPHORIC ACID	absorption	0.21207	8.24933e-23	0.04185	63595	1147	48	9451155
LOMEFLOXACIN	absorption	0.21160	5.13598e-07	0.05556	63595	180	10	9451155
PHENPROCOUMON	bleeding	0.20968	2.69065e-11	0.05128	30415	234	12	9451155
OCTREOTIDE	bleeding	0.20824	1.36854e-17	0.04536	30415	463	21	9451155
OCTREOTIDE	absorption	0.13916	1.71677e-07	0.03456	63595	463	16	9451155
OCTREOTIDE	resection	0.12627	3.54865e-08	0.03024	41979	463	14	9451155
OCTREOTIDE	bowel movements	0.04150	4.50723e-07	0.00648	287	463	3	9451155
Oxybutynin	continence	0.20781	4.29708e-13	0.04918	2067	122	6	9451155
GLYBURIDE	diet	0.20699	2.48163e-09	0.05224	58989	268	14	9451155
CAPTOPRIL	diet	0.20324	1.68903e-38	0.02535	58989	5050	128	9451155
CAPTOPRIL	wall thickening	0.02417	4.99068e-07	0.00139	845	5050	7	9451155
MONOHYDRATE	diet	0.20320	1.42084e-19	0.04218	58989	901	38	9451155
MONOHYDRATE	absorption	0.17450	2.51790e-15	0.03774	63595	901	34	9451155
AMINOPHYLLINE	absorption	0.20234	2.31134e-28	0.03414	63595	2138	73	9451155
DEFIBROTIDE	bleeding	0.20188	3.11822e-07	0.05263	30415	133	7	9451155
TEMAZEPAM	absorption	0.20073	1.17885e-10	0.04932	63595	365	18	9451155
GUANIDINE	absorption	0.19900	6.12464e-34	0.02821	63595	3829	108	9451155
VINBLASTINE	resection	0.19622	5.76767e-37	0.02469	41979	3605	89	9451155
VINBLASTINE	excision	0.04875	5.22383e-08	0.00777	21648	3605	28	9451155
VINBLASTINE	weight loss	0.04404	3.26603e-09	0.00527	8807	3605	19	9451155
FLUOCINONIDE	inflammation	0.19541	9.05972e-06	0.05208	26813	96	5	9451155
DIPYRIDAMOLE	bleeding	0.19516	5.89627e-38	0.02349	30415	3108	73	9451155
DIPYRIDAMOLE	pathogenesis	0.08134	2.16656e-09	0.01609	57792	3108	50	9451155
FLUDROCORTISONE	diet	0.19491	5.42139e-08	0.05000	58989	240	12	9451155
AMINOHIPPURATE	diet	0.19477	6.22279e-19	0.04034	58989	942	38	9451155
AMINOHIPPURATE	absorption	0.10368	2.23081e-07	0.02442	63595	942	23	9451155
ENALAPRILAT	absorption	0.19365	1.37632e-08	0.04912	63595	285	14	9451155
METOCLOPRAMIDE	absorption	0.19295	4.91452e-29	0.03084	63595	2691	83	9451155
METOCLOPRAMIDE	oral intake	0.02339	2.91547e-06	0.00186	743	2691	5	9451155
CAFFEINE	diet	0.19026	1.85118e-38	0.02161	58989	7218	156	9451155
CAFFEINE	absorption	0.16078	2.56707e-30	0.02037	63595	7218	147	9451155
CAFFEINE	excision	0.14483	2.42403e-34	0.01205	21648	7218	87	9451155
MEGESTROL	weight loss	0.18786	1.37843e-19	0.03778	8807	397	15	9451155
MEGESTROL	nutritional status	0.11493	5.93496e-13	0.02267	4453	397	9	9451155
C-14	absorption	0.18733	4.06512e-22	0.03539	63595	1526	54	9451155
CLIOQUINOL	absorption	0.18691	4.90947e-06	0.04945	63595	182	9	9451155
PROBENECID	absorption	0.18683	2.74592e-23	0.03420	63595	1725	59	9451155
ENOXACIN	absorption	0.18527	4.04859e-12	0.04364	63595	527	23	9451155
CYSTEAMINE	pathogenesis	0.18495	1.88354e-21	0.03529	57792	1360	48	9451155
CYSTEAMINE	healing	0.09783	5.38118e-13	0.01765	24294	1360	24	9451155
OXANDROLONE	linear growth	0.18259	4.24801e-13	0.04202	709	119	5	9451155
CUPRIC	absorption	0.18256	6.69377e-15	0.04042	63595	767	31	9451155
OFLOXACIN	absorption	0.18163	1.68304e-20	0.03519	63595	1421	50	9451155
CHORIONIC	sex	0.18048	4.72644e-36	0.02093	73023	10079	211	9451155
CHORIONIC	bleeding	0.12375	1.85871e-28	0.01121	30415	10079	113	9451155
OXAZEPAM	absorption	0.17907	2.75529e-13	0.04085	63595	661	27	9451155
SULFADIAZINE	healing	0.17703	2.49511e-23	0.03134	24294	989	31	9451155
SULFADIAZINE	absorption	0.13090	1.07859e-10	0.02932	63595	989	29	9451155
KRYPTON	absorption	0.17621	3.78378e-14	0.03927	63595	764	30	9451155
CHLORPROPAMIDE	diet	0.17596	8.42774e-17	0.03685	58989	977	36	9451155
ISOPROPYL ALCOHOL	absorption	0.17576	3.48837e-07	0.04528	63595	265	12	9451155
CHLORTETRACYCLINE	diet	0.17393	2.53704e-16	0.03669	58989	954	35	9451155
CHLORTETRACYCLINE	absorption	0.16499	1.28946e-14	0.03564	63595	954	34	9451155
TRETINOIN	healing	0.17342	1.56828e-10	0.04167	24294	264	11	9451155
FLUORESCEIN	absorption	0.17157	3.95660e-35	0.01917	63595	9859	189	9451155
FLUORESCEIN	inflammation	0.16670	7.89343e-41	0.01258	26813	9859	124	9451155
FLUORESCEIN	pathogenesis	0.10083	5.45303e-18	0.01400	57792	9859	138	9451155
FLUORESCEIN	healing	0.05315	7.99464e-11	0.00649	24294	9859	64	9451155
FLUORESCEIN	mucosal permeability	0.02666	1.44519e-08	0.00071	257	9859	7	9451155
FLUORESCEIN	intestinal permeability	0.01757	9.66442e-06	0.00061	450	9859	6	9451155
LITHIUM	absorption	0.17135	1.66127e-35	0.01876	63595	10552	198	9451155
LITHIUM	diet	0.15111	5.85592e-31	0.01696	58989	10552	179	9451155
LITHIUM	sex	0.09011	1.16568e-13	0.01478	73023	10552	156	9451155
PYRILAMINE	inflammation	0.17123	2.21387e-15	0.03675	26813	517	19	9451155
LEUPROLIDE	absorption	0.17005	4.96872e-07	0.04380	63595	274	12	9451155
LEVOTHYROXINE	sex	0.16965	4.61346e-06	0.04453	73023	247	11	9451155
LEVOTHYROXINE	absorption	0.15459	8.68498e-06	0.04049	63595	247	10	9451155
CHLORHEXIDINE GLUCONATE	bleeding	0.16849	1.79975e-09	0.04120	30415	267	11	9451155
CHLORHEXIDINE GLUCONATE	healing	0.15472	2.95298e-09	0.03745	24294	267	10	9451155
CHLORHEXIDINE GLUCONATE	inflammation	0.15348	7.44454e-09	0.03745	26813	267	10	9451155
TRIAMTERENE	absorption	0.16833	5.69602e-12	0.03894	63595	642	25	9451155
DESOXYCORTICOSTERONE	diet	0.16718	1.50428e-17	0.03366	58989	1218	41	9451155
GRISEOFULVIN	absorption	0.16561	4.52602e-19	0.03186	63595	1601	51	9451155
QUINIDINE	absorption	0.16546	1.40499e-25	0.02599	63595	3386	88	9451155
AMINOLEVULINIC ACID	absorption	0.16410	1.11251e-18	0.03177	63595	1574	50	9451155
AMINOLEVULINIC ACID	diet	0.07840	1.45797e-06	0.01779	58989	1574	28	9451155
OXYPHENBUTAZONE	inflammation	0.16321	3.91394e-13	0.03645	26813	439	16	9451155
OXYPHENBUTAZONE	inflammatory activity	0.10591	5.73200e-15	0.01822	1368	439	8	9451155
SARALASIN	diet	0.16177	1.86473e-14	0.03486	58989	918	32	9451155
IFOSFAMIDE	resection	0.16017	3.02304e-16	0.03281	41979	884	29	9451155
POTASSIUM IODIDE	absorption	0.15901	4.14156e-11	0.03704	63595	648	24	9451155
POTASSIUM IODIDE	diet	0.10774	1.15751e-06	0.02623	58989	648	17	9451155
SODIUM CARBONATE	absorption	0.15754	1.11656e-06	0.04054	63595	296	12	9451155
VALPROIC ACID	absorption	0.15718	2.39861e-15	0.03275	63595	1191	39	9451155
NICOTINE	absorption	0.15634	1.72831e-28	0.02072	63595	6466	134	9451155
NICOTINE	sex	0.06133	3.62024e-06	0.01315	73023	6466	85	9451155
TROMETHAMINE	inflammation	0.15619	1.59635e-07	0.03941	26813	203	8	9451155
PARAMETHASONE	inflammatory activity	0.15604	2.11044e-07	0.03947	1368	76	3	9451155
LIDOCAINE	absorption	0.15525	9.55099e-27	0.02198	63595	5233	115	9451155
METHOTREXATE	resection	0.15498	1.64289e-34	0.01488	41979	9814	146	9451155
METHOTREXATE	disease activity	0.08024	9.12448e-23	0.00357	3493	9814	35	9451155
METHOTREXATE	absorption	0.06881	1.35552e-09	0.01223	63595	9814	120	9451155
METHOTREXATE	weight loss	0.06483	8.67687e-17	0.00448	8807	9814	44	9451155
METHOTREXATE	inflammation	0.06435	2.70687e-13	0.00754	26813	9814	74	9451155
METHOTREXATE	enterohepatic circulation	0.02979	3.94113e-09	0.00112	883	9814	11	9451155
PIPERONYL BUTOXIDE	sex	0.15307	5.35967e-06	0.03987	73023	301	12	9451155
CARBAMAZEPINE	absorption	0.15251	3.57430e-22	0.02529	63595	3084	78	9451155
CARBAMAZEPINE	sex	0.08385	2.83964e-08	0.01783	73023	3084	55	9451155
LISINOPRIL	absorption	0.15172	2.86797e-07	0.03836	63595	365	14	9451155
SULFINPYRAZONE	bleeding	0.15112	3.65880e-10	0.03562	30415	365	13	9451155
INDOCYANINE GREEN	absorption	0.14892	4.04377e-14	0.03146	63595	1176	37	9451155
INDOCYANINE GREEN	enterohepatic circulation	0.02774	5.49976e-06	0.00340	883	1176	4	9451155
DIGITOXIN	absorption	0.14764	9.22945e-14	0.03141	63595	1146	36	9451155
DIGITOXIN	enterohepatic circulation	0.08928	4.31883e-19	0.00960	883	1146	11	9451155
METHIMAZOLE	diet	0.14743	6.65687e-12	0.03301	58989	818	27	9451155
METHIMAZOLE	absorption	0.10144	1.29554e-06	0.02445	63595	818	20	9451155
SULFANILAMIDE	absorption	0.14658	4.36551e-10	0.03438	63595	669	23	9451155
FLUOXETINE	weight loss	0.14645	6.89529e-26	0.02019	8807	1288	26	9451155
CALCIUM GLUCONATE	absorption	0.14638	8.65720e-08	0.03636	63595	440	16	9451155
CALCIUM GLUCONATE	diet	0.12716	1.08760e-06	0.03182	58989	440	14	9451155
TIMOLOL	absorption	0.14586	1.16300e-15	0.02920	63595	1541	45	9451155
METHYLENE BLUE	absorption	0.14577	1.33029e-20	0.02475	63595	2990	74	9451155
MESTRANOL	bleeding	0.14513	3.86709e-12	0.03214	30415	529	17	9451155
MESTRANOL	sex	0.11950	5.60332e-06	0.03025	73023	529	16	9451155
MESTRANOL	diet	0.11441	1.88717e-06	0.02836	58989	529	15	9451155
SECRETIN	absorption	0.14244	4.19568e-22	0.02243	63595	4057	91	9451155
SECRETIN	diet	0.08067	4.62374e-10	0.01528	58989	4057	62	9451155
SECRETIN	resection	0.07077	4.03668e-10	0.01232	41979	4057	50	9451155
SECRETIN	enterohepatic circulation	0.02688	1.56110e-07	0.00173	883	4057	7	9451155
SPIRONOLACTONE	absorption	0.14207	4.64453e-15	0.02865	63595	1536	44	9451155
SPIRONOLACTONE	diet	0.14122	1.63287e-15	0.02799	58989	1536	43	9451155
SPIRONOLACTONE	sex	0.08593	2.40531e-06	0.02018	73023	1536	31	9451155
SPIRONOLACTONE	weight loss	0.07063	3.58402e-12	0.01042	8807	1536	16	9451155
METHADONE	sex	0.14063	2.44503e-18	0.02529	73023	3005	76	9451155
TANNIC ACID	diet	0.13897	1.11315e-12	0.02988	58989	1071	32	9451155
TANNIC ACID	absorption	0.11556	2.73996e-09	0.02614	63595	1071	28	9451155
PENTAGASTRIN	healing	0.13862	5.43412e-26	0.01781	24294	2864	51	9451155
PENTAGASTRIN	absorption	0.08294	8.82390e-09	0.01711	63595	2864	49	9451155
PENTAGASTRIN	resection	0.05706	1.42073e-06	0.01152	41979	2864	33	9451155
PENTAGASTRIN	bleeding	0.05542	1.40788e-07	0.01013	30415	2864	29	9451155
PENTAGASTRIN	oral intake	0.02821	1.45766e-07	0.00209	743	2864	6	9451155
HYDROCHLOROTHIAZIDE	diet	0.13751	4.29179e-18	0.02460	58989	2398	59	9451155
HYDROCHLOROTHIAZIDE	absorption	0.13629	3.10177e-17	0.02502	63595	2398	60	9451155
HYDROCHLOROTHIAZIDE	weight loss	0.05772	3.43169e-11	0.00751	8807	2398	18	9451155
PROCAINAMIDE	absorption	0.13418	1.94701e-13	0.02782	63595	1438	40	9451155
PROCARBAZINE	resection	0.13342	1.85649e-13	0.02758	41979	979	27	9451155
PROCARBAZINE	sex	0.10685	3.74339e-07	0.02554	73023	979	25	9451155
PROCARBAZINE	weight loss	0.05051	5.15213e-07	0.00919	8807	979	9	9451155
LEUCOVORIN	resection	0.13280	4.99257e-12	0.02868	41979	802	23	9451155
LEUCOVORIN	bowel movements	0.03004	2.33114e-06	0.00374	287	802	3	9451155
TALC	inflammation	0.13271	3.46763e-13	0.02762	26813	688	19	9451155
TALC	granulomatous inflammation	0.08809	1.76484e-16	0.01163	564	688	8	9451155
OXPRENOLOL	absorption	0.13226	1.63464e-09	0.03077	63595	780	24	9451155
GLYCERIN	absorption	0.13094	2.50431e-08	0.03145	63595	636	20	9451155
PRILOCAINE	absorption	0.12985	3.81191e-06	0.03308	63595	393	13	9451155
SODIUM FLUORIDE	diet	0.12909	1.66403e-15	0.02449	58989	2042	50	9451155
SODIUM FLUORIDE	absorption	0.12185	1.03044e-13	0.02400	63595	2042	49	9451155
BENZYL ALCOHOL	absorption	0.12890	4.74911e-07	0.03200	63595	500	16	9451155
LEVODOPA	absorption	0.12841	5.57100e-15	0.02476	63595	2100	52	9451155
LEVODOPA	pathogenesis	0.09918	7.92422e-11	0.02000	57792	2100	42	9451155
NYSTATIN	absorption	0.12606	1.98711e-11	0.02727	63595	1247	34	9451155
NYSTATIN	inflammation	0.07685	7.02003e-09	0.01524	26813	1247	19	9451155
NYSTATIN	inflammatory activity	0.04675	1.02580e-09	0.00561	1368	1247	7	9451155
CLOMIPRAMINE	sex	0.12522	4.93031e-09	0.02917	73023	960	28	9451155
DEFEROXAMINE MESYLATE	faecal excretion	0.12381	3.02674e-06	0.03125	367	64	2	9451155
CLOMIPHENE	sex	0.12350	3.02696e-13	0.02490	73023	2169	54	9451155
CLOMIPHENE	bleeding	0.10802	1.99816e-16	0.01752	30415	2169	38	9451155
CLOMIPHENE	weight loss	0.03272	8.96088e-06	0.00507	8807	2169	11	9451155
THIOGUANINE	excision	0.12323	1.30952e-18	0.01999	21648	1501	30	9451155
L-GLUTAMINE	nutrition	0.12247	7.25897e-13	0.02494	27262	802	20	9451155
ILOPROST	healing	0.12202	1.65763e-10	0.02692	24294	520	14	9451155
TRIAMCINOLONE	inflammation	0.12166	1.06753e-18	0.01945	26813	1851	36	9451155
TRIAMCINOLONE	inflammatory activity	0.07043	2.05833e-16	0.00648	1368	1851	12	9451155
TRIAMCINOLONE	healing	0.05384	6.47447e-07	0.01026	24294	1851	19	9451155
BENZOYL PEROXIDE	healing	0.12137	3.50689e-08	0.02882	24294	347	10	9451155
DOXYCYCLINE	absorption	0.12004	1.55409e-12	0.02453	63595	1753	43	9451155
DOXYCYCLINE	inflammation	0.05116	4.80068e-06	0.01027	26813	1753	18	9451155
CETIRIZINE	oral intake	0.11974	7.40409e-10	0.02685	743	149	4	9451155
MEFLOQUINE	absorption	0.11957	2.40522e-06	0.02994	63595	501	15	9451155
LACTIC ACID	diet	0.11832	2.47942e-18	0.01881	58989	4573	86	9451155
LACTIC ACID	absorption	0.08386	1.39155e-10	0.01574	63595	4573	72	9451155
LACTIC ACID	nutrition	0.04765	1.55039e-07	0.00787	27262	4573	36	9451155
DIETHYLCARBAMAZINE	inflammation	0.11766	9.78049e-12	0.02456	26813	733	18	9451155
LINDANE	diet	0.11738	2.94754e-08	0.02760	58989	761	21	9451155
LINDANE	absorption	0.10282	1.74114e-06	0.02497	63595	761	19	9451155
SULINDAC	absorption	0.11719	5.85172e-06	0.02960	63595	473	14	9451155
SULINDAC	inflammation	0.11032	1.85087e-08	0.02537	26813	473	12	9451155
SULINDAC	inflammatory activity	0.08698	1.24242e-12	0.01480	1368	473	7	9451155
SULINDAC	disease activity	0.07827	8.09770e-10	0.01480	3493	473	7	9451155
NITROFURANTOIN	absorption	0.11677	1.35478e-09	0.02622	63595	1106	29	9451155
LORAZEPAM	absorption	0.11467	5.22078e-09	0.02614	63595	1033	27	9451155
TRIAZOLAM	absorption	0.11465	1.17051e-06	0.02824	63595	602	17	9451155
NEOMYCIN	absorption	0.11433	8.13894e-16	0.01992	63595	3766	75	9451155
NEOMYCIN	diet	0.07760	3.12089e-09	0.01514	58989	3766	57	9451155
BUPIVACAINE	absorption	0.11392	2.67424e-13	0.02206	63595	2402	53	9451155
BUPIVACAINE	resection	0.07282	9.05958e-09	0.01415	41979	2402	34	9451155
BUPIVACAINE	bowel function	0.03090	1.91092e-08	0.00208	299	2402	5	9451155
NOVOBIOCIN	excision	0.11381	2.61253e-15	0.02022	21648	1187	24	9451155
BUSULFAN	bleeding	0.11381	8.70165e-11	0.02429	30415	741	18	9451155
DISULFIRAM	diet	0.11302	1.21649e-10	0.02419	58989	1364	33	9451155
NALTREXONE	weight loss	0.11295	1.91323e-20	0.01532	8807	1501	23	9451155
NALTREXONE	cell activity	0.05013	6.22454e-09	0.00733	6028	1501	11	9451155
HYDROQUINONE	absorption	0.11133	2.45868e-08	0.02577	63595	970	25	9451155
DIFLUNISAL	bleeding	0.11019	1.76258e-06	0.02711	30415	332	9	9451155
DIFLUNISAL	inflammatory activity	0.07796	1.97760e-09	0.01506	1368	332	5	9451155
DIFLUNISAL	enterohepatic circulation	0.06376	3.67130e-08	0.01205	883	332	4	9451155
DIFLUNISAL	disease activity	0.05646	8.40587e-06	0.01205	3493	332	4	9451155
CARBIDOPA	diet	0.10923	2.97275e-07	0.02613	58989	727	19	9451155
KETOCONAZOLE	absorption	0.10890	2.68668e-11	0.02241	63595	1919	43	9451155
KETOCONAZOLE	weight loss	0.04984	7.11801e-09	0.00730	8807	1919	14	9451155
COLCHICINE	inflammation	0.10882	2.38534e-23	0.01147	26813	6625	76	9451155
COLCHICINE	suppressor cell function	0.04123	1.44211e-12	0.00136	296	6625	9	9451155
MEGLUMINE	inflammation	0.10854	1.09206e-10	0.02285	26813	744	17	9451155
HEXACHLOROPHENE	absorption	0.10766	8.31898e-06	0.02698	63595	556	15	9451155
FENOPROFEN	inflammatory activity	0.08582	3.76138e-08	0.01852	1368	216	4	9451155
ISOSORBIDE	absorption	0.10591	9.65506e-10	0.02294	63595	1526	35	9451155
ATROPINE	absorption	0.10516	1.12320e-19	0.01374	63595	14414	198	9451155
STERILE WATER	nutrition	0.10451	4.27599e-06	0.02581	27262	310	8	9451155
DACARBAZINE	resection	0.10376	4.85849e-06	0.02564	41979	429	11	9451155
DACARBAZINE	excision	0.10114	8.70240e-08	0.02331	21648	429	10	9451155
VALPROATE	absorption	0.10290	9.40143e-10	0.02205	63595	1678	37	9451155
TRIAMCINOLONE ACETONIDE	absorption	0.10242	1.74201e-07	0.02395	63595	1002	24	9451155
TRIAMCINOLONE ACETONIDE	inflammation	0.08834	1.40211e-09	0.01796	26813	1002	18	9451155
TRIAMCINOLONE ACETONIDE	inflammatory activity	0.06221	4.07363e-12	0.00798	1368	1002	8	9451155
FURAZOLIDONE	diet	0.10166	7.68812e-06	0.02521	58989	595	15	9451155
HELIUM	absorption	0.10145	4.38921e-12	0.01953	63595	2919	57	9451155
HELIUM	healing	0.09641	6.92734e-17	0.01370	24294	2919	40	9451155
DEXTROAMPHETAMINE	weight loss	0.10118	1.88508e-07	0.02362	8807	254	6	9451155
CARBOPLATIN	absorption	0.10077	8.90475e-07	0.02411	63595	871	21	9451155
CARBOPLATIN	weight loss	0.04852	2.21372e-06	0.00918	8807	871	8	9451155
MENADIONE	absorption	0.10051	2.39160e-06	0.02442	63595	778	19	9451155
Zidovudine	pathogenesis	0.10045	1.66573e-08	0.02246	57792	1202	27	9451155
Zidovudine	immune activation	0.02495	4.50818e-06	0.00250	239	1202	3	9451155
CHLOROTHIAZIDE	absorption	0.09947	1.08413e-06	0.02381	63595	882	21	9451155
MEXILETINE	absorption	0.09936	7.46053e-06	0.02453	63595	693	17	9451155
LITHIUM CARBONATE	absorption	0.09868	4.37494e-08	0.02232	63595	1299	29	9451155
LITHIUM CARBONATE	diet	0.07933	4.21083e-06	0.01848	58989	1299	24	9451155
PENTOXIFYLLINE	pathogenesis	0.09566	2.62100e-06	0.02305	57792	781	18	9451155
MELPHALAN	excision	0.09547	2.14096e-14	0.01569	21648	1721	27	9451155
AMPHOTERICIN B	excision	0.09524	1.32982e-18	0.01180	21648	3899	46	9451155
AMPHOTERICIN B	absorption	0.08310	6.99967e-10	0.01616	63595	3899	63	9451155
AMPHOTERICIN B	weight loss	0.06457	2.55751e-14	0.00667	8807	3899	26	9451155
AMPHOTERICIN B	granulomatous inflammation	0.06122	3.72506e-17	0.00308	564	3899	12	9451155
AMPHOTERICIN B	resection	0.06071	5.16300e-08	0.01128	41979	3899	44	9451155
AMPHOTERICIN B	inflammation	0.06058	6.08061e-10	0.00949	26813	3899	37	9451155
AMPHOTERICIN B	healing	0.03944	6.40517e-06	0.00692	24294	3899	27	9451155
MEPERIDINE	absorption	0.09495	9.36830e-07	0.02244	63595	1025	23	9451155
TOLBUTAMIDE	diet	0.09424	3.39849e-10	0.01913	58989	2248	43	9451155
NITRIC OXIDE	absorption	0.09373	5.47039e-10	0.01917	63595	2452	47	9451155
NITRIC OXIDE	pathogenesis	0.06960	1.06512e-06	0.01509	57792	2452	37	9451155
NITRIC OXIDE	inflammation	0.04704	3.91489e-06	0.00897	26813	2452	22	9451155
ISOSORBIDE DINITRATE	absorption	0.09360	2.51451e-07	0.02153	63595	1254	27	9451155
DISOPYRAMIDE	absorption	0.09270	9.25043e-07	0.02178	63595	1102	24	9451155
FLUOCINOLONE ACETONIDE	inflammatory activity	0.09222	6.53158e-10	0.01880	1368	266	5	9451155
TRYPAN BLUE	absorption	0.09059	6.20289e-09	0.01920	63595	2135	41	9451155
TRYPAN BLUE	pathogenesis	0.07565	3.23799e-07	0.01639	57792	2135	35	9451155
